id,block,block_header,temple_name,deities,location,nearby_town,district,dynasty,condition,functional_status,accessibility,page_content
0,0,Thaiyur Temples,Sri Mariswarar Temple,"Moolavar Sri Mariswarar, Ambal Sri Aramvalarthanayaki","Thaiyur village, 2 km from Kelambakkam on Chennai-Mamallapuram road",Kelambakkam,Chengalpattu,,Intact,Functional,"Well-connected by bus (Tambaram-Thaiyur route 55), 2 km from Kelambakkam on Chennai-Mamallapuram road","About 2 km from Kelambakkam on Chennai Mamallapuram road.A village called Taiyur situated in the western direction once had 7 temples.At present only 3 temples are under worship.Other temples are said to be ruined in the forest. Sri Mariswarar Temple Moolav Sri Mariswarar Ambal Sri Aramvalarthanayaki. flagpoleAlong with Nandi Mandapam and Raja Gopuram, this temple has Pancha Goshta Murthys, Vinayagar, Murugan, Chandikeswarar, Surya, Bhairava and Hanuman Navakrigam.A puja is held every day.Thirukkulam is found in a dry state.Contact Mr. Ramamurthy- 7299552933, Mr. Kannan-9790825558, Mr. Rajesh-9941745535.Bus Tambaram-Thaiyur (55 Sri Murugeeswarar Temple Moolavar Sri Murugeswar (Swayambu) Ambal Sri Marakatambikai It is history that Lord Muruga worshiped the Lord.Because of that, he is known as Murugeeswarar.Lord Muruga has also arisen here as Swayambu.There are sanctuaries of flag tree, Pancha Goshtas, Ganesha, Surya, Bhairava and Navagraha.It is considered as a place to remedy all planetary doshas.A period of worship.Contact Mr. Ramamurthy- 7299552933, Mr. Kannan-9790825558, Mr. Rajesh-9941745535.Bus Tambaram-Thaiyur (55 Sri Alageeswar Temple Moolav Sri Alageeswarar Ambal Sri Alagambikai. The old temple is currently being renovated.Dwara Ganapati, Murugan, Pancha Goshta Shrines Perumal, and Navagragam.Thirukulam in front of the temple.A period puja.Contact Mr. Ramamurthy- 7299552933, Mr. Kannan-9790825558, Mr. Rajesh-9941745535.Bus Tambaram-Thaiyur (55k)k)k)"
1,0,Thaiyur Temples,Sri Murugeeswarar Temple,"Moolavar Sri Murugeswar (Swayambu), Ambal Sri Marakatambikai","Thaiyur village, 2 km from Kelambakkam on Chennai-Mamallapuram road",Kelambakkam,Chengalpattu,,Intact,Functional,"Well-connected by bus (Tambaram-Thaiyur route 55), 2 km from Kelambakkam on Chennai-Mamallapuram road","About 2 km from Kelambakkam on Chennai Mamallapuram road.A village called Taiyur situated in the western direction once had 7 temples.At present only 3 temples are under worship.Other temples are said to be ruined in the forest. Sri Mariswarar Temple Moolav Sri Mariswarar Ambal Sri Aramvalarthanayaki. flagpoleAlong with Nandi Mandapam and Raja Gopuram, this temple has Pancha Goshta Murthys, Vinayagar, Murugan, Chandikeswarar, Surya, Bhairava and Hanuman Navakrigam.A puja is held every day.Thirukkulam is found in a dry state.Contact Mr. Ramamurthy- 7299552933, Mr. Kannan-9790825558, Mr. Rajesh-9941745535.Bus Tambaram-Thaiyur (55 Sri Murugeeswarar Temple Moolavar Sri Murugeswar (Swayambu) Ambal Sri Marakatambikai It is history that Lord Muruga worshiped the Lord.Because of that, he is known as Murugeeswarar.Lord Muruga has also arisen here as Swayambu.There are sanctuaries of flag tree, Pancha Goshtas, Ganesha, Surya, Bhairava and Navagraha.It is considered as a place to remedy all planetary doshas.A period of worship.Contact Mr. Ramamurthy- 7299552933, Mr. Kannan-9790825558, Mr. Rajesh-9941745535.Bus Tambaram-Thaiyur (55 Sri Alageeswar Temple Moolav Sri Alageeswarar Ambal Sri Alagambikai. The old temple is currently being renovated.Dwara Ganapati, Murugan, Pancha Goshta Shrines Perumal, and Navagragam.Thirukulam in front of the temple.A period puja.Contact Mr. Ramamurthy- 7299552933, Mr. Kannan-9790825558, Mr. Rajesh-9941745535.Bus Tambaram-Thaiyur (55k)k)k)"
2,0,Thaiyur Temples,Sri Alageeswar Temple,"Moolavar Sri Alageeswarar, Ambal Sri Alagambikai","Thaiyur village, 2 km from Kelambakkam on Chennai-Mamallapuram road",Kelambakkam,Chengalpattu,,Dilapidated,Functional,"Well-connected by bus (Tambaram-Thaiyur route 55), 2 km from Kelambakkam on Chennai-Mamallapuram road","About 2 km from Kelambakkam on Chennai Mamallapuram road.A village called Taiyur situated in the western direction once had 7 temples.At present only 3 temples are under worship.Other temples are said to be ruined in the forest. Sri Mariswarar Temple Moolav Sri Mariswarar Ambal Sri Aramvalarthanayaki. flagpoleAlong with Nandi Mandapam and Raja Gopuram, this temple has Pancha Goshta Murthys, Vinayagar, Murugan, Chandikeswarar, Surya, Bhairava and Hanuman Navakrigam.A puja is held every day.Thirukkulam is found in a dry state.Contact Mr. Ramamurthy- 7299552933, Mr. Kannan-9790825558, Mr. Rajesh-9941745535.Bus Tambaram-Thaiyur (55 Sri Murugeeswarar Temple Moolavar Sri Murugeswar (Swayambu) Ambal Sri Marakatambikai It is history that Lord Muruga worshiped the Lord.Because of that, he is known as Murugeeswarar.Lord Muruga has also arisen here as Swayambu.There are sanctuaries of flag tree, Pancha Goshtas, Ganesha, Surya, Bhairava and Navagraha.It is considered as a place to remedy all planetary doshas.A period of worship.Contact Mr. Ramamurthy- 7299552933, Mr. Kannan-9790825558, Mr. Rajesh-9941745535.Bus Tambaram-Thaiyur (55 Sri Alageeswar Temple Moolav Sri Alageeswarar Ambal Sri Alagambikai. The old temple is currently being renovated.Dwara Ganapati, Murugan, Pancha Goshta Shrines Perumal, and Navagragam.Thirukulam in front of the temple.A period puja.Contact Mr. Ramamurthy- 7299552933, Mr. Kannan-9790825558, Mr. Rajesh-9941745535.Bus Tambaram-Thaiyur (55k)k)k)"
3,1,Senkanmal Sivan Temple,Senkanmal Sivan Temple,"Shri Senkanmaleeswarar, Ambal Sri Brahannayake, Goshta Murthy, Ganesha, Murugan, Gajalakshmi, Bhairava, Surya, Jeshta Devi, Navagraha",On the side of the road next to Kelambakkam on Chennai Mamallapuram road,Kelambakkam,,,,,Well-connected (on main road),"This temple is on the side of the road next to Kelambakkam on Chennai Mamallapuram road.As Shri Mahavishnu worshiped, the Lord appears here with the name of Shri Senkanmaleeswarar.On the square pedestal, Swami faces east and Ambal Sri Brahannayake faces south.The temple is flanked by the flag tree Nandi Mandapam prakaram and has shrines of Goshta Murthy, Ganesha, Murugan, Gajalakshmi, Bhairava, Surya, Jeshta Devi and Navagraha shrines.Lord Tirumeni is composed of Salagram.It is a place of relief for all diseases related to eyes.If you crawl and worship the Lord wholeheartedly, you will get benefit.Contact Mr Ganesa Gurus- 9952924944, Thiruvenkatesan- 9176770308, Mr Kamalakannan- 9884504932."
4,2,Melakottayur Sivan Temple,Melakottayur Sivan Temple (Sri Mekambikai Sametha Sri Meghnatheeswarar Temple),"Sri Meghnatheeswarar (Shiva), Sri Mekambikai (Parvati), Koshta Murthas, Kannimoolai Ganapati, Valli Devasena Murugan, Sandikeswarar, Bhairava, Navagragam","Melakottaiyur Village, Vandalur Kelambakkam Road","Vandalur, Kelambakkam",Chengalpattu,,Intact,Functional,Well-connected via Vandalur Kelambakkam Road,"Sri Mekambikai Sametha Sri Meghnatheeswarar Temple is located at Melakottaiyur Village on Vandalur Kelambakkam Road.This 1400 year old temple has been renovated and is well maintained.The temple includes Koshta Murthas, Kannimoolai Ganapati, Valli Devasena Murugan, Sandikeswarar, Bhairava, Navagragam shrines.Flagpole, Altar, Nandi Mandapam in front of temple.Moolavar Sri Meghnatheeswarar gives darshan on the square peeda towards the west.Swami could not be taken out during renovation work.Even today we can see that Shiva Lingam is seen leaning slightly to the right or left during Mahapradosha.Thala Purana says that Varunadeva, who was cursed by Sage Sri Durvasa, established a tirtha here and worshiped Isaan and got rid of the curse.The tirtha here is Varuna tirtha Eason is the bestower of reparation People worship Isaan here for marriage prevention, child birth, physical health, promotion, debt relief.Many people come to this temple and worship the Lord.108 sangabhishekams are performed here on every Pradosha day. Contact Mr. Siva Gurus-9962267286, Mr. Bhaktavachalam- 9941416205, Mr. Mahendran-7358491381."
5,3,Padur Siva Vishnu Temple,Padur Siva Vishnu Temple,"Sri Manikandeswarar, Shri Marakadavalli, Srinivasa Perumal, Vinayaka, Murugan, Ayyappan, Navagragam, Bhairava, Surya, Lakshmi Taiar, Garuda, Andal, Anjaneyar","Badur, near Kelambakkam",Kelambakkam,Chengalpattu,,Intact,Functional,"Well-connected by road, 2 km from Kelambakkam","By road, Kelambakkam is 2 km.This temple is located in Badur which comes before.The very old temple is now giving a new look.Sri Manikandeswarar is the source of the temple with the flagpole.Ambal Shri Marakadavalli.The temple with Pancha Shiva Koshta has shrines of Vinayaka, Murugan, Ayyappan, Navagragam, Bhairava and Surya.An old Shiva Lingam is seen to the left of the temple entrance.Puja is held for two periods. The main plant is the banyan tree.The temple pond is at the back.Kosala is also maintained here. To the left of the temple is the Srinivasa Perumal shrine.Sri Lakshmi's mother on Perumal's forehead is something that cannot be seen anywhere else.Besides Prayoga Chakram other shrines are Lakshmi Taiar, Garuda, Andal, Anjaneyar.Contact Mr. Ananda Gurus-9551785164, Mr. Krishnamurthy-7395918536, Mr. Prakash-98403 83097. Omar"
6,4,Thazhambur Temples,Sri Saileswarar Temple,"Sri Saileswarar, Sri Marakatambikai, Vinayagar, Murugan, Sandikeswarar, Bhairava, Navagragam, Dakshinamurthy, Vishnu Durga","Near Nawalur, Dalhampur","Tambaram, Adyar",,,,Functional,Well-connected by bus from Tambaram and Adyar,"Mrs. Bhavani took the Shiva lingam that was looking at the sky on the bank of the pond and built a small temple with the help of others.Swami Thirunamam Sri Saileswarar.Ambal Sri Marakatambikai.Vinayagar, Murugan, Sandikeswarar, Bhairava, Navagragam, Dakshinamurthy, Vishnu Durga etc. were newly consecrated.There is a beautiful pond in front.An old Nandi idol is found on the bank of the pond.For other details Mrs. Bhavani- 9962151046, Mr. Balasubramanian-91761 03629. Near Nawalur, Dalhampur.Buses come here from Tambaram and Adyar. They took the Shivlinga Thirumeni that was outside the cut in the area called Dhalampur Natham and showed them a small temple.The sanctum sanctorum is topped with a shed.Swami Thirunamam Sri Kailasanathar.They are going to keep Ambal from now on.Sometimes a pooja takes place.Tirukulam is at the back.Contact Mr. Balasubramanian-9176103629."
7,4,Thazhambur Temples,Sri Kailasanathar Temple,"Sri Kailasanathar, Ambal (to be installed)",Dhalampur Natham area,,,,,Functional,,"Mrs. Bhavani took the Shiva lingam that was looking at the sky on the bank of the pond and built a small temple with the help of others.Swami Thirunamam Sri Saileswarar.Ambal Sri Marakatambikai.Vinayagar, Murugan, Sandikeswarar, Bhairava, Navagragam, Dakshinamurthy, Vishnu Durga etc. were newly consecrated.There is a beautiful pond in front.An old Nandi idol is found on the bank of the pond.For other details Mrs. Bhavani- 9962151046, Mr. Balasubramanian-91761 03629. Near Nawalur, Dalhampur.Buses come here from Tambaram and Adyar. They took the Shivlinga Thirumeni that was outside the cut in the area called Dhalampur Natham and showed them a small temple.The sanctum sanctorum is topped with a shed.Swami Thirunamam Sri Kailasanathar.They are going to keep Ambal from now on.Sometimes a pooja takes place.Tirukulam is at the back.Contact Mr. Balasubramanian-9176103629."
8,5,Navalur Siva Vishnu Temple,Navalur Siva Vishnu Temple,"Sri Navaleeswarara (Shiva), Sri Akhilandeshwari (Ambal), Sri Lakshmi Narayana Perumal (Vishnu)","Navalur, On Omar Road, near Choshinganallur",Choshinganallur,,,Intact,Functional,Well-connected (all buses stop here),"A few years ago, the people of Nawalur built a big temple after taking the Shiva Lingam buried in the earth.This temple was built with the blessings of Kanji Sri Maha Swami.All the deities sannidans are featured here.The name of the Lord is Sri Navaleeswarara.Ambal Thirunamam Sri Akhilandeshwari.Sri Lakshmi Narayana Perumal in a separate temple nearby.All the utsavams are very well done in both the temples.The big pond is in front of the temple.Temple timings are 7-11 am and 5-8 pm.Contact Mr. Ananda Gurus- 9710070515. Navalur, On Omar Road, Choshinganallur is next.All buses stop here."
9,6,Kaaranai Sivan,Kaaranai Sivan,Shiva,"Karanai village, school complex back wall",Tambaram,,,Dilapidated,Non-Functional,Well-connected by bus from Chennai Saidappettai and Tambaram,"A Shiva lingam is found on the back wall of a school complex in Karanai village.There are vines all around.There are no visitors here.Some servants in the town are trying to bring the Lord.It is Eason who should show mercy.Contact Mr. Rajesh-9789845302, Mr. Senthilkumar-98843 04592, Mr. Kamalakannan-9962700694, Mr. Karthikeyan- 9940366472. There are buses to Karana from Chennai Saidappettai and Tambaram."
