Chunk ID,Character Count,Temple Name Metadata,Raw Text Content
0,5358,Thaiyur Temples,"About 2 km from Kelambakkam on Chennai Mamallapuram road.About 2 km from Kelambakkam on Chennai Mamallapuram road.Can't load alternativesTry againAbout 2 km from Kelambakkam on Chennai Mamallapuram road. A village called Taiyur situated in the western direction once had 7 temples.A village called Taiyur situated in the western direction once had 7 temples.Can't load alternativesTry againA village called Taiyur situated in the western direction once had 7 temples. At present only 3 temples are under worship.At present only 3 temples are under worship.Can't load alternativesTry againAt present only 3 temples are under worship. Other temples are said to be ruined in the forest.Other temples are said to be ruined in the forest.Can't load alternativesTry againOther temples are said to be ruined in the forest.
Sri Mariswarar Temple
Sri Mariswarar TempleCan't load alternativesTry again
Sri Mariswarar Temple
Moolav Sri Mariswarar Ambal Sri Aramvalarthanayaki.
Moolav Sri Mariswarar Ambal Sri Aramvalarthanayaki.Can't load alternativesTry again
Moolav Sri Mariswarar Ambal Sri Aramvalarthanayaki.
flagpole
flagpoleCan't load alternativesTry again
flagpole Along with Nandi Mandapam and Raja Gopuram, this temple has Pancha Goshta Murthys, Vinayagar, Murugan, Chandikeswarar, Surya, Bhairava and Hanuman Navakrigam.Along with Nandi Mandapam and Raja Gopuram, this temple has Pancha Goshta Murthys, Vinayagar, Murugan, Chandikeswarar, Surya, Bhairava and Hanuman Navakrigam.Can't load alternativesTry againAlong with Nandi Mandapam and Raja Gopuram, this temple has Pancha Goshta Murthys, Vinayagar, Murugan, Chandikeswarar, Surya, Bhairava and Hanuman Navakrigam. A puja is held every day.A puja is held every day.Can't load alternativesTry againA puja is held every day. Thirukkulam is found in a dry state.Thirukkulam is found in a dry state.Can't load alternativesTry againThirukkulam is found in a dry state. Contact Mr. Ramamurthy- 7299552933, Mr. Kannan-9790825558, Mr. Rajesh-9941745535.Contact Mr. Ramamurthy- 7299552933, Mr. Kannan-9790825558, Mr. Rajesh-9941745535.Can't load alternativesTry againContact Mr. Ramamurthy- 7299552933, Mr. Kannan-9790825558, Mr. Rajesh-9941745535. Bus Tambaram-Thaiyur (55Bus Tambaram-Thaiyur (55Can't load alternativesTry againBus Tambaram-Thaiyur (55
Sri Murugeeswarar Temple
Sri Murugeeswarar TempleCan't load alternativesTry again
Sri Murugeeswarar Temple
Moolavar Sri Murugeswar (Swayambu)
Moolavar Sri Murugeswar (Swayambu)Can't load alternativesTry again
Moolavar Sri Murugeswar (Swayambu)
Ambal Sri Marakatambikai
Ambal Sri MarakatambikaiCan't load alternativesTry again
Ambal Sri Marakatambikai
It is history that Lord Muruga worshiped the Lord.
It is history that Lord Muruga worshiped the Lord.Can't load alternativesTry again
It is history that Lord Muruga worshiped the Lord. Because of that, he is known as Murugeeswarar.Because of that, he is known as Murugeeswarar.Can't load alternativesTry againBecause of that, he is known as Murugeeswarar. Lord Muruga has also arisen here as Swayambu.Lord Muruga has also arisen here as Swayambu.Can't load alternativesTry againLord Muruga has also arisen here as Swayambu. There are sanctuaries of flag tree, Pancha Goshtas, Ganesha, Surya, Bhairava and Navagraha.There are sanctuaries of flag tree, Pancha Goshtas, Ganesha, Surya, Bhairava and Navagraha.Can't load alternativesTry againThere are sanctuaries of flag tree, Pancha Goshtas, Ganesha, Surya, Bhairava and Navagraha. It is considered as a place to remedy all planetary doshas.It is considered as a place to remedy all planetary doshas.Can't load alternativesTry againIt is considered as a place to remedy all planetary doshas. A period of worship.A period of worship.Can't load alternativesTry againA period of worship. Contact Mr. Ramamurthy- 7299552933, Mr. Kannan-9790825558, Mr. Rajesh-9941745535.Contact Mr. Ramamurthy- 7299552933, Mr. Kannan-9790825558, Mr. Rajesh-9941745535.Can't load alternativesTry againContact Mr. Ramamurthy- 7299552933, Mr. Kannan-9790825558, Mr. Rajesh-9941745535. Bus Tambaram-Thaiyur (55Bus Tambaram-Thaiyur (55Can't load alternativesTry againBus Tambaram-Thaiyur (55
Sri Alageeswar Temple
Sri Alageeswar TempleCan't load alternativesTry again
Sri Alageeswar Temple
Moolav Sri Alageeswarar Ambal Sri Alagambikai.
Moolav Sri Alageeswarar Ambal Sri Alagambikai.Can't load alternativesTry again
Moolav Sri Alageeswarar Ambal Sri Alagambikai.
The old temple is currently being renovated.
The old temple is currently being renovated.Can't load alternativesTry again
The old temple is currently being renovated. Dwara Ganapati, Murugan, Pancha Goshta Shrines Perumal, and Navagragam.Dwara Ganapati, Murugan, Pancha Goshta Shrines Perumal, and Navagragam.Can't load alternativesTry againDwara Ganapati, Murugan, Pancha Goshta Shrines Perumal, and Navagragam. Thirukulam in front of the temple.Thirukulam in front of the temple.Can't load alternativesTry againThirukulam in front of the temple. A period puja.A period puja.Can't load alternativesTry againA period puja.Contact Mr. Ramamurthy- 7299552933, Mr. Kannan-9790825558, Mr. Rajesh-9941745535.Contact Mr. Ramamurthy- 7299552933, Mr. Kannan-9790825558, Mr. Rajesh-9941745535.Can't load alternativesTry againContact Mr. Ramamurthy- 7299552933, Mr. Kannan-9790825558, Mr. Rajesh-9941745535. Bus Tambaram-Thaiyur (55k)"
1,2358,Senkanmal Sivan Temple,"This temple is on the side of the road next to Kelambakkam on Chennai Mamallapuram road.This temple is on the side of the road next to Kelambakkam on Chennai Mamallapuram road.Can't load alternativesTry againThis temple is on the side of the road next to Kelambakkam on Chennai Mamallapuram road. As Shri Mahavishnu worshiped, the Lord appears here with the name of Shri Senkanmaleeswarar.As Shri Mahavishnu worshiped, the Lord appears here with the name of Shri Senkanmaleeswarar.Can't load alternativesTry againAs Shri Mahavishnu worshiped, the Lord appears here with the name of Shri Senkanmaleeswarar. On the square pedestal, Swami faces east and Ambal Sri Brahannayake faces south.On the square pedestal, Swami faces east and Ambal Sri Brahannayake faces south.Can't load alternativesTry againOn the square pedestal, Swami faces east and Ambal Sri Brahannayake faces south. The temple is flanked by the flag tree Nandi Mandapam prakaram and has shrines of Goshta Murthy, Ganesha, Murugan, Gajalakshmi, Bhairava, Surya, Jeshta Devi and Navagraha shrines.The temple is flanked by the flag tree Nandi Mandapam prakaram and has shrines of Goshta Murthy, Ganesha, Murugan, Gajalakshmi, Bhairava, Surya, Jeshta Devi and Navagraha shrines.Can't load alternativesTry againThe temple is flanked by the flag tree Nandi Mandapam prakaram and has shrines of Goshta Murthy, Ganesha, Murugan, Gajalakshmi, Bhairava, Surya, Jeshta Devi and Navagraha shrines. Lord Tirumeni is composed of Salagram.Lord Tirumeni is composed of Salagram.Can't load alternativesTry againLord Tirumeni is composed of Salagram.It is a place of relief for all diseases related to eyes.It is a place of relief for all diseases related to eyes.Can't load alternativesTry againIt is a place of relief for all diseases related to eyes. If you crawl and worship the Lord wholeheartedly, you will get benefit.If you crawl and worship the Lord wholeheartedly, you will get benefit.Can't load alternativesTry againIf you crawl and worship the Lord wholeheartedly, you will get benefit.Contact Mr Ganesa Gurus- 9952924944, Thiruvenkatesan- 9176770308, Mr Kamalakannan- 9884504932.Contact Mr Ganesa Gurus- 9952924944, Thiruvenkatesan- 9176770308, Mr Kamalakannan- 9884504932.Can't load alternativesTry againContact Mr Ganesa Gurus- 9952924944, Thiruvenkatesan- 9176770308, Mr Kamalakannan- 9884504932."
2,3824,Melakottayur Sivan Temple,"Sri Mekambikai Sametha Sri Meghnatheeswarar Temple is located at Melakottaiyur Village on Vandalur Kelambakkam Road.Sri Mekambikai Sametha Sri Meghnatheeswarar Temple is located at Melakottaiyur Village on Vandalur Kelambakkam Road.Can't load alternativesTry againSri Mekambikai Sametha Sri Meghnatheeswarar Temple is located at Melakottaiyur Village on Vandalur Kelambakkam Road. This 1400 year old temple has been renovated and is well maintained.This 1400 year old temple has been renovated and is well maintained.Can't load alternativesTry againThis 1400 year old temple has been renovated and is well maintained. The temple includes Koshta Murthas, Kannimoolai Ganapati, Valli Devasena Murugan, Sandikeswarar, Bhairava, Navagragam shrines.The temple includes Koshta Murthas, Kannimoolai Ganapati, Valli Devasena Murugan, Sandikeswarar, Bhairava, Navagragam shrines.Can't load alternativesTry againThe temple includes Koshta Murthas, Kannimoolai Ganapati, Valli Devasena Murugan, Sandikeswarar, Bhairava, Navagragam shrines. Flagpole, Altar, Nandi Mandapam in front of temple.Flagpole, Altar, Nandi Mandapam in front of temple.Can't load alternativesTry againFlagpole, Altar, Nandi Mandapam in front of temple. Moolavar Sri Meghnatheeswarar gives darshan on the square peeda towards the west.Moolavar Sri Meghnatheeswarar gives darshan on the square peeda towards the west.Can't load alternativesTry againMoolavar Sri Meghnatheeswarar gives darshan on the square peeda towards the west. Swami could not be taken out during renovation work.Swami could not be taken out during renovation work.Can't load alternativesTry againSwami could not be taken out during renovation work. Even today we can see that Shiva Lingam is seen leaning slightly to the right or left during Mahapradosha.Even today we can see that Shiva Lingam is seen leaning slightly to the right or left during Mahapradosha.Can't load alternativesTry againEven today we can see that Shiva Lingam is seen leaning slightly to the right or left during Mahapradosha. Thala Purana says that Varunadeva, who was cursed by Sage Sri Durvasa, established a tirtha here and worshiped Isaan and got rid of the curse.Thala Purana says that Varunadeva, who was cursed by Sage Sri Durvasa, established a tirtha here and worshiped Isaan and got rid of the curse.Can't load alternativesTry againThala Purana says that Varunadeva, who was cursed by Sage Sri Durvasa, established a tirtha here and worshiped Isaan and got rid of the curse. The tirtha here is Varuna tirthaThe tirtha here is Varuna tirthaCan't load alternativesTry againThe tirtha here is Varuna tirtha
Eason is the bestower of reparation
Eason is the bestower of reparationCan't load alternativesTry again
Eason is the bestower of reparation
People worship Isaan here for marriage prevention, child birth, physical health, promotion, debt relief.
People worship Isaan here for marriage prevention, child birth, physical health, promotion, debt relief.Can't load alternativesTry again
People worship Isaan here for marriage prevention, child birth, physical health, promotion, debt relief. Many people come to this temple and worship the Lord.Many people come to this temple and worship the Lord.Can't load alternativesTry againMany people come to this temple and worship the Lord. 108 sangabhishekams are performed here on every Pradosha day.108 sangabhishekams are performed here on every Pradosha day.Can't load alternativesTry again108 sangabhishekams are performed here on every Pradosha day.
Contact Mr. Siva Gurus-9962267286, Mr. Bhaktavachalam- 9941416205, Mr. Mahendran-7358491381.
Contact Mr. Siva Gurus-9962267286, Mr. Bhaktavachalam- 9941416205, Mr. Mahendran-7358491381.Can't load alternativesTry again
Contact Mr. Siva Gurus-9962267286, Mr. Bhaktavachalam- 9941416205, Mr. Mahendran-7358491381."
3,3021,Padur Siva Vishnu Temple,"By road, Kelambakkam is 2 km.By road, Kelambakkam is 2 km.Can't load alternativesTry againBy road, Kelambakkam is 2 km. This temple is located in Badur which comes before.This temple is located in Badur which comes before.Can't load alternativesTry againThis temple is located in Badur which comes before. The very old temple is now giving a new look.The very old temple is now giving a new look.Can't load alternativesTry againThe very old temple is now giving a new look. Sri Manikandeswarar is the source of the temple with the flagpole.Sri Manikandeswarar is the source of the temple with the flagpole.Can't load alternativesTry againSri Manikandeswarar is the source of the temple with the flagpole. Ambal Shri Marakadavalli.Ambal Shri Marakadavalli.Can't load alternativesTry againAmbal Shri Marakadavalli. The temple with Pancha Shiva Koshta has shrines of Vinayaka, Murugan, Ayyappan, Navagragam, Bhairava and Surya.The temple with Pancha Shiva Koshta has shrines of Vinayaka, Murugan, Ayyappan, Navagragam, Bhairava and Surya.Can't load alternativesTry againThe temple with Pancha Shiva Koshta has shrines of Vinayaka, Murugan, Ayyappan, Navagragam, Bhairava and Surya. An old Shiva Lingam is seen to the left of the temple entrance.An old Shiva Lingam is seen to the left of the temple entrance.Can't load alternativesTry againAn old Shiva Lingam is seen to the left of the temple entrance. Puja is held for two periods.Puja is held for two periods.Can't load alternativesTry againPuja is held for two periods.
The main plant is the banyan tree.
The main plant is the banyan tree.Can't load alternativesTry again
The main plant is the banyan tree. The temple pond is at the back.The temple pond is at the back.Can't load alternativesTry againThe temple pond is at the back. Kosala is also maintained here.Kosala is also maintained here.Can't load alternativesTry againKosala is also maintained here.
To the left of the temple is the Srinivasa Perumal shrine.
To the left of the temple is the Srinivasa Perumal shrine.Can't load alternativesTry again
To the left of the temple is the Srinivasa Perumal shrine. Sri Lakshmi's mother on Perumal's forehead is something that cannot be seen anywhere else.Sri Lakshmi's mother on Perumal's forehead is something that cannot be seen anywhere else.Can't load alternativesTry againSri Lakshmi's mother on Perumal's forehead is something that cannot be seen anywhere else. Besides Prayoga Chakram other shrines are Lakshmi Taiar, Garuda, Andal, Anjaneyar.Besides Prayoga Chakram other shrines are Lakshmi Taiar, Garuda, Andal, Anjaneyar.Can't load alternativesTry againBesides Prayoga Chakram other shrines are Lakshmi Taiar, Garuda, Andal, Anjaneyar. Contact Mr. Ananda Gurus-9551785164, Mr. Krishnamurthy-7395918536, Mr. Prakash-98403 83097. OmarContact Mr. Ananda Gurus-9551785164, Mr. Krishnamurthy-7395918536, Mr. Prakash-98403 83097. OmarCan't load alternativesTry againContact Mr. Ananda Gurus-9551785164, Mr. Krishnamurthy-7395918536, Mr. Prakash-98403 83097. Omar"
4,3121,Thazhambur Temples,"Mrs. Bhavani took the Shiva lingam that was looking at the sky on the bank of the pond and built a small temple with the help of others.Mrs. Bhavani took the Shiva lingam that was looking at the sky on the bank of the pond and built a small temple with the help of others.Can't load alternativesTry againMrs. Bhavani took the Shiva lingam that was looking at the sky on the bank of the pond and built a small temple with the help of others. Swami Thirunamam Sri Saileswarar.Swami Thirunamam Sri Saileswarar.Can't load alternativesTry againSwami Thirunamam Sri Saileswarar. Ambal Sri Marakatambikai.Ambal Sri Marakatambikai.Can't load alternativesTry againAmbal Sri Marakatambikai. Vinayagar, Murugan, Sandikeswarar, Bhairava, Navagragam, Dakshinamurthy, Vishnu Durga etc. were newly consecrated.Vinayagar, Murugan, Sandikeswarar, Bhairava, Navagragam, Dakshinamurthy, Vishnu Durga etc. were newly consecrated.Can't load alternativesTry againVinayagar, Murugan, Sandikeswarar, Bhairava, Navagragam, Dakshinamurthy, Vishnu Durga etc. were newly consecrated. There is a beautiful pond in front.There is a beautiful pond in front.Can't load alternativesTry againThere is a beautiful pond in front. An old Nandi idol is found on the bank of the pond.An old Nandi idol is found on the bank of the pond.Can't load alternativesTry againAn old Nandi idol is found on the bank of the pond. For other details Mrs. Bhavani- 9962151046, Mr. Balasubramanian-91761 03629. Near Nawalur, Dalhampur.For other details Mrs. Bhavani- 9962151046, Mr. Balasubramanian-91761 03629. Near Nawalur, Dalhampur.Can't load alternativesTry againFor other details Mrs. Bhavani- 9962151046, Mr. Balasubramanian-91761 03629. Near Nawalur, Dalhampur. Buses come here from Tambaram and Adyar.Buses come here from Tambaram and Adyar.Can't load alternativesTry againBuses come here from Tambaram and Adyar.
They took the Shivlinga Thirumeni that was outside the cut in the area called Dhalampur Natham and showed them a small temple.
They took the Shivlinga Thirumeni that was outside the cut in the area called Dhalampur Natham and showed them a small temple.Can't load alternativesTry again
They took the Shivlinga Thirumeni that was outside the cut in the area called Dhalampur Natham and showed them a small temple. The sanctum sanctorum is topped with a shed.The sanctum sanctorum is topped with a shed.Can't load alternativesTry againThe sanctum sanctorum is topped with a shed. Swami Thirunamam Sri Kailasanathar.Swami Thirunamam Sri Kailasanathar.Can't load alternativesTry againSwami Thirunamam Sri Kailasanathar. They are going to keep Ambal from now on.They are going to keep Ambal from now on.Can't load alternativesTry againThey are going to keep Ambal from now on. Sometimes a pooja takes place.Sometimes a pooja takes place.Can't load alternativesTry againSometimes a pooja takes place. Tirukulam is at the back.Tirukulam is at the back.Can't load alternativesTry againTirukulam is at the back. Contact Mr. Balasubramanian-9176103629.Contact Mr. Balasubramanian-9176103629.Can't load alternativesTry againContact Mr. Balasubramanian-9176103629."
5,2144,Navalur Siva Vishnu Temple,"A few years ago, the people of Nawalur built a big temple after taking the Shiva Lingam buried in the earth.A few years ago, the people of Nawalur built a big temple after taking the Shiva Lingam buried in the earth.Can't load alternativesTry againA few years ago, the people of Nawalur built a big temple after taking the Shiva Lingam buried in the earth. This temple was built with the blessings of Kanji Sri Maha Swami.This temple was built with the blessings of Kanji Sri Maha Swami.Can't load alternativesTry againThis temple was built with the blessings of Kanji Sri Maha Swami. All the deities sannidans are featured here.All the deities sannidans are featured here.Can't load alternativesTry againAll the deities sannidans are featured here. The name of the Lord is Sri Navaleeswarara.The name of the Lord is Sri Navaleeswarara.Can't load alternativesTry againThe name of the Lord is Sri Navaleeswarara. Ambal Thirunamam Sri Akhilandeshwari.Ambal Thirunamam Sri Akhilandeshwari.Can't load alternativesTry againAmbal Thirunamam Sri Akhilandeshwari. Sri Lakshmi Narayana Perumal in a separate temple nearby.Sri Lakshmi Narayana Perumal in a separate temple nearby.Can't load alternativesTry againSri Lakshmi Narayana Perumal in a separate temple nearby. All the utsavams are very well done in both the temples.All the utsavams are very well done in both the temples.Can't load alternativesTry againAll the utsavams are very well done in both the temples. The big pond is in front of the temple.The big pond is in front of the temple.Can't load alternativesTry againThe big pond is in front of the temple. Temple timings are 7-11 am and 5-8 pm.Temple timings are 7-11 am and 5-8 pm.Can't load alternativesTry againTemple timings are 7-11 am and 5-8 pm. Contact Mr. Ananda Gurus- 9710070515. Navalur is on Omar Road, next to Choshinganallur.Contact Mr. Ananda Gurus- 9710070515. Navalur is on Omar Road, next to Choshinganallur.Can't load alternativesTry againContact Mr. Ananda Gurus- 9710070515. Navalur is on Omar Road, next to Choshinganallur. All buses stop here.All buses stop here.Can't load alternativesTry againAll buses stop here."
6,1418,Kaaranai Sivan,"A Shiva lingam is found on the back wall of a school complex in Karanai village.A Shiva lingam is found on the back wall of a school complex in Karanai village.Can't load alternativesTry againA Shiva lingam is found on the back wall of a school complex in Karanai village. There are vines all around.There are vines all around.Can't load alternativesTry againThere are vines all around. There are no visitors here.There are no visitors here.Can't load alternativesTry againThere are no visitors here. Some servants in the town are trying to bring the Lord.Some servants in the town are trying to bring the Lord.Can't load alternativesTry againSome servants in the town are trying to bring the Lord. It is Eason who should show mercy.It is Eason who should show mercy.Can't load alternativesTry againIt is Eason who should show mercy. Contact Mr. Rajesh-9789845302, Mr. Senthilkumar-98843 04592, Mr. Kamalakannan-9962700694, Mr. Karthikeyan- 9940366472. There are buses to Karana from Chennai Saidappettai and Tambaram.Contact Mr. Rajesh-9789845302, Mr. Senthilkumar-98843 04592, Mr. Kamalakannan-9962700694, Mr. Karthikeyan- 9940366472. There are buses to Karana from Chennai Saidappettai and Tambaram.Can't load alternativesTry againContact Mr. Rajesh-9789845302, Mr. Senthilkumar-98843 04592, Mr. Kamalakannan-9962700694, Mr. Karthikeyan- 9940366472. There are buses to Karana from Chennai Saidappettai and Tambaram."
7,2704,Siruseri Temples,"This temple is located in Sirusheri near Kelambakkam, Chennai.This temple is located in Sirusheri near Kelambakkam, Chennai.Can't load alternativesTry againThis temple is located in Sirusheri near Kelambakkam, Chennai. Eason, who previously resided in a stone temple with a circular flight structure, now gives darshan in a small shed.Eason, who previously resided in a stone temple with a circular flight structure, now gives darshan in a small shed.Can't load alternativesTry againEason, who previously resided in a stone temple with a circular flight structure, now gives darshan in a small shed. Lord facing East on square pedestal.Lord facing East on square pedestal.Can't load alternativesTry againLord facing East on square pedestal. Ambal is nearby.Ambal is nearby.Can't load alternativesTry againAmbal is nearby. Name unknown.Name unknown.Can't load alternativesTry againName unknown. In front of Lord Nadia.In front of Lord Nadia.Can't load alternativesTry againIn front of Lord Nadia. Chandikeswarar is outside in worn condition.Chandikeswarar is outside in worn condition.Can't load alternativesTry againChandikeswarar is outside in worn condition. Perhaps a servant is doing the puja here.Perhaps a servant is doing the puja here.Can't load alternativesTry againPerhaps a servant is doing the puja here. Tirukulam is seen opposite.Tirukulam is seen opposite.Can't load alternativesTry againTirukulam is seen opposite.
Sri Neela Manikka Perumal presents Sridevi as Boodevi Samethar in the Golam.
Sri Neela Manikka Perumal presents Sridevi as Boodevi Samethar in the Golam.Can't load alternativesTry again
Sri Neela Manikka Perumal presents Sridevi as Boodevi Samethar in the Golam. A separate shrine for Hayagriva.A separate shrine for Hayagriva.Can't load alternativesTry againA separate shrine for Hayagriva. The temple is well maintained.The temple is well maintained.Can't load alternativesTry againThe temple is well maintained. Puja is performed daily.Puja is performed daily.Can't load alternativesTry againPuja is performed daily. Contact Mr. Sundararajan- 99529 99694, Mr. Sriram-9841046408.Contact Mr. Sundararajan- 99529 99694, Mr. Sriram-9841046408.Can't load alternativesTry againContact Mr. Sundararajan- 99529 99694, Mr. Sriram-9841046408. There is an auto facility from Nawalur which is on the road to reach this place.There is an auto facility from Nawalur which is on the road to reach this place.Can't load alternativesTry againThere is an auto facility from Nawalur which is on the road to reach this place. And there are buses from Kelambakkam, Adyar.And there are buses from Kelambakkam, Adyar.Can't load alternativesTry againAnd there are buses from Kelambakkam, Adyar."
8,4467,Pudupakkam Temples,"Built by the Pandya kings, this temple is now resplendent.Built by the Pandya kings, this temple is now resplendent.Can't load alternativesTry againBuilt by the Pandya kings, this temple is now resplendent. The source is Sri Devi Bhudevi Sametha Karunakaralakshminarayan.The source is Sri Devi Bhudevi Sametha Karunakaralakshminarayan.Can't load alternativesTry againThe source is Sri Devi Bhudevi Sametha Karunakaralakshminarayan. Standing column.Standing column.Can't load alternativesTry againStanding column. Utsavar is the same name.Utsavar is the same name.Can't load alternativesTry againUtsavar is the same name. Other shrines here are Twelve Alwars, Vinayaka, Murugan, Panchamuga Anjaneya, Ramanuja, Vishwaksena, Shirdi Baba.Other shrines here are Twelve Alwars, Vinayaka, Murugan, Panchamuga Anjaneya, Ramanuja, Vishwaksena, Shirdi Baba.Can't load alternativesTry againOther shrines here are Twelve Alwars, Vinayaka, Murugan, Panchamuga Anjaneya, Ramanuja, Vishwaksena, Shirdi Baba. One of the 108 Vaishnava thalams, Thiruvidanta Sri Nitya Kalyana Perumal, is visited at Parivettai in Thaimatham and the Thirumanjana Vaipavam takes place.One of the 108 Vaishnava thalams, Thiruvidanta Sri Nitya Kalyana Perumal, is visited at Parivettai in Thaimatham and the Thirumanjana Vaipavam takes place.Can't load alternativesTry againOne of the 108 Vaishnava thalams, Thiruvidanta Sri Nitya Kalyana Perumal, is visited at Parivettai in Thaimatham and the Thirumanjana Vaipavam takes place. Contact Mr. Ramanathan-9841439552, Mr. Balakrishnan-97912 30348, Mr. Narasimhan-97102 39076. You can reach this village by taking the road to the left after the light post on the Vandalur-Kelambakkam road.Contact Mr. Ramanathan-9841439552, Mr. Balakrishnan-97912 30348, Mr. Narasimhan-97102 39076. You can reach this village by taking the road to the left after the light post on the Vandalur-Kelambakkam road.Can't load alternativesTry againContact Mr. Ramanathan-9841439552, Mr. Balakrishnan-97912 30348, Mr. Narasimhan-97102 39076. You can reach this village by taking the road to the left after the light post on the Vandalur-Kelambakkam road.
There is also an ancient Shiva temple in Puducherry village.
There is also an ancient Shiva temple in Puducherry village.Can't load alternativesTry again
There is also an ancient Shiva temple in Puducherry village. Lord Thirunam Sri Agastheeswarar.Lord Thirunam Sri Agastheeswarar.Can't load alternativesTry againLord Thirunam Sri Agastheeswarar. Goddess, Sri Akilandeshwari.Goddess, Sri Akilandeshwari.Can't load alternativesTry againGoddess, Sri Akilandeshwari. Like Pancha Goshta in Shiva Goshta, Ambal also has Pancha Goshta deities.Like Pancha Goshta in Shiva Goshta, Ambal also has Pancha Goshta deities.Can't load alternativesTry againLike Pancha Goshta in Shiva Goshta, Ambal also has Pancha Goshta deities. The temple was renovated in 2006 and pujas are being held.The temple was renovated in 2006 and pujas are being held.Can't load alternativesTry againThe temple was renovated in 2006 and pujas are being held. Adi Agastheeswarar Shivlingam is found behind the sanctum sanctorum in the prakaram.Adi Agastheeswarar Shivlingam is found behind the sanctum sanctorum in the prakaram.Can't load alternativesTry againAdi Agastheeswarar Shivlingam is found behind the sanctum sanctorum in the prakaram. There are shrines of Vinayagar, Valli Devasena Subramanyar, Bhairava, Chandikeswarar and Navagraha.There are shrines of Vinayagar, Valli Devasena Subramanyar, Bhairava, Chandikeswarar and Navagraha.Can't load alternativesTry againThere are shrines of Vinayagar, Valli Devasena Subramanyar, Bhairava, Chandikeswarar and Navagraha. Puja takes place twice.Puja takes place twice.Can't load alternativesTry againPuja takes place twice. Contact Mr. Vasudevan-9444118745.Contact Mr. Vasudevan-9444118745.Can't load alternativesTry againContact Mr. Vasudevan-9444118745. Thala Vridsham is a novel.Thala Vridsham is a novel.Can't load alternativesTry againThala Vridsham is a novel. All the celebrations take place here in a grand manner.All the celebrations take place here in a grand manner.Can't load alternativesTry againAll the celebrations take place here in a grand manner.
It also serves as a place of reparation for lost wealth and lost goods.
It also serves as a place of reparation for lost wealth and lost goods.Can't load alternativesTry again
It also serves as a place of reparation for lost wealth and lost goods."
9,3077,Velichai Siva Vishnu Temple,"The temple built by the Brahma sage Shri Satasiva Brahmandral is located in the village of Ilashai.The temple built by the Brahma sage Shri Satasiva Brahmandral is located in the village of Ilashai.Can't load alternativesTry againThe temple built by the Brahma sage Shri Satasiva Brahmandral is located in the village of Ilashai. There are numerous deity shrines in this temple, which is located with the Periya Raja Gopuram and the flagpole.There are numerous deity shrines in this temple, which is located with the Periya Raja Gopuram and the flagpole.Can't load alternativesTry againThere are numerous deity shrines in this temple, which is located with the Periya Raja Gopuram and the flagpole. In Moolasthan, Sri Pasupadeeswarar is facing east direction.In Moolasthan, Sri Pasupadeeswarar is facing east direction.Can't load alternativesTry againIn Moolasthan, Sri Pasupadeeswarar is facing east direction. Ambal Sri Simmavalli shrine is facing south.Ambal Sri Simmavalli shrine is facing south.Can't load alternativesTry againAmbal Sri Simmavalli shrine is facing south. Lord Vishnu is present in a separate temple named Sri Sundara Varadaraja.Lord Vishnu is present in a separate temple named Sri Sundara Varadaraja.Can't load alternativesTry againLord Vishnu is present in a separate temple named Sri Sundara Varadaraja. Sri Kanakavalli's mother also has Tanichannadi.Sri Kanakavalli's mother also has Tanichannadi.Can't load alternativesTry againSri Kanakavalli's mother also has Tanichannadi. Other shrines are Dwara Ganapati, Murugan, Nataraja, Sivagami, Manikavasar, Pulipani, Kannimoolai Ganapati, Goshta Murthys, Vishwarupa Anjaneya, Surya, Chandran, Bhairava, Pratyangara Devi, Panduranga, Rukmini Devi, Valli Devasena Subramaniar, Sita Rama Lakshmana, Vallalar.Other shrines are Dwara Ganapati, Murugan, Nataraja, Sivagami, Manikavasar, Pulipani, Kannimoolai Ganapati, Goshta Murthys, Vishwarupa Anjaneya, Surya, Chandran, Bhairava, Pratyangara Devi, Panduranga, Rukmini Devi, Valli Devasena Subramaniar, Sita Rama Lakshmana, Vallalar.Can't load alternativesTry againOther shrines are Dwara Ganapati, Murugan, Nataraja, Sivagami, Manikavasar, Pulipani, Kannimoolai Ganapati, Goshta Murthys, Vishwarupa Anjaneya, Surya, Chandran, Bhairava, Pratyangara Devi, Panduranga, Rukmini Devi, Valli Devasena Subramaniar, Sita Rama Lakshmana, Vallalar. Temple time is 9-11 am. Here everyone can go inside the sanctum and worship the Lord.Temple time is 9-11 am. Here everyone can go inside the sanctum and worship the Lord.Can't load alternativesTry againTemple time is 9-11 am. Here everyone can go inside the sanctum and worship the Lord. Contact 044 24640306. On the Vandalur-Kelambakkam road, you can reach this temple by taking the road opposite to the Anjaneya temple.Contact 044 24640306. On the Vandalur-Kelambakkam road, you can reach this temple by taking the road opposite to the Anjaneya temple.Can't load alternativesTry againContact 044 24640306. On the Vandalur-Kelambakkam road, you can reach this temple by taking the road opposite to the Anjaneya temple."
